model,rank,feature,shap_value,feature_value
XGBoost-biophysical,1,cdr3_W,0.9459406733512878,0.0
XGBoost-biophysical,1,cdr3_W,1.0624756813049316,0.0
XGBoost-biophysical,1,cdr3_W,1.0136122703552246,0.0
XGBoost-biophysical,1,cdr3_W,0.9466253519058228,0.0
XGBoost-biophysical,1,cdr3_W,-2.335684061050415,1.0
XGBoost-biophysical,1,cdr3_W,1.129480481147766,0.0
XGBoost-biophysical,1,cdr3_W,0.7460609674453735,0.0
XGBoost-biophysical,1,cdr3_W,0.9920400977134703,0.0
XGBoost-biophysical,1,cdr3_W,1.0278011560440063,0.0
XGBoost-biophysical,1,cdr3_W,-2.25960922241211,1.0
XGBoost-biophysical,1,cdr3_W,1.1774940490722656,0.0
XGBoost-biophysical,1,cdr3_W,-2.3225600719451904,2.0
XGBoost-biophysical,1,cdr3_W,-2.5369036197662354,1.0
XGBoost-biophysical,1,cdr3_W,1.2810949087142944,0.0
XGBoost-biophysical,1,cdr3_W,0.8228676915168762,0.0
XGBoost-biophysical,1,cdr3_W,1.173580288887024,0.0
XGBoost-biophysical,1,cdr3_W,1.3195406198501587,0.0
XGBoost-biophysical,1,cdr3_W,1.1664539575576782,0.0
XGBoost-biophysical,1,cdr3_W,-1.5936235189437866,1.0
XGBoost-biophysical,1,cdr3_W,1.145690679550171,0.0
XGBoost-biophysical,1,cdr3_W,0.6124038696289062,0.0
XGBoost-biophysical,1,cdr3_W,-2.0186588764190674,1.0
XGBoost-biophysical,1,cdr3_W,1.1540827751159668,0.0
XGBoost-biophysical,1,cdr3_W,-2.123940706253052,1.0
XGBoost-biophysical,1,cdr3_W,1.1846284866333008,0.0
XGBoost-biophysical,1,cdr3_W,0.8115816712379456,0.0
XGBoost-biophysical,1,cdr3_W,-2.039656162261963,1.0
XGBoost-biophysical,1,cdr3_W,1.20836341381073,0.0
XGBoost-biophysical,1,cdr3_W,1.0702320337295532,0.0
XGBoost-biophysical,1,cdr3_W,1.175682544708252,0.0
XGBoost-biophysical,1,cdr3_W,1.166048526763916,0.0
XGBoost-biophysical,1,cdr3_W,0.918965220451355,0.0
XGBoost-biophysical,1,cdr3_W,1.1901602745056152,0.0
XGBoost-biophysical,1,cdr3_W,1.0234088897705078,0.0
