model,true_label,pred_prob,shap_cdr3_length,shap_cdr3_pi,shap_cdr3_charge,shap_cdr3_hydrophobicity,shap_cdr3_aromaticity,shap_cdr3_instability,shap_cdr3_frac_charged,shap_cdr3_frac_hydrophobic,shap_cdr3_D,shap_cdr3_E,shap_cdr3_R,shap_cdr3_K,shap_cdr3_H,shap_cdr3_W,shap_cdr3_Y,shap_cdr3_F,shap_cdr3_G,shap_cdr3_P,shap_cdr3_C,shap_vh_length,shap_vh_cdr3_length_ratio,shap_vh_charge,shap_vh_hydrophobicity,fval_cdr3_length,fval_cdr3_pi,fval_cdr3_charge,fval_cdr3_hydrophobicity,fval_cdr3_aromaticity,fval_cdr3_instability,fval_cdr3_frac_charged,fval_cdr3_frac_hydrophobic,fval_cdr3_D,fval_cdr3_E,fval_cdr3_R,fval_cdr3_K,fval_cdr3_H,fval_cdr3_W,fval_cdr3_Y,fval_cdr3_F,fval_cdr3_G,fval_cdr3_P,fval_cdr3_C,fval_vh_length,fval_vh_cdr3_length_ratio,fval_vh_charge,fval_vh_hydrophobicity
XGBoost-biophysical,0,,-0.0030146366916596,-1.0037330389022827,-2.914374828338623,-0.200681060552597,0.0105243641883134,1.1682697534561155,-0.3276060223579407,-0.0014328892575576,0.0041027078405022,-0.0063300742767751,-0.0801876559853553,-0.0010108854621648,-0.0220942068845033,-0.1852027624845504,-0.0296606868505477,-0.0199528392404317,0.0057974974624812,0.0272474139928817,0.0,-0.0206615980714559,0.038709633052349,-0.6609447002410889,1.8294930458068848,16.0,12.5,3.1826000213623047,-1.0312000513076782,0.25,83.8499984741211,0.4375,0.3125,1.0,0.0,4.0,0.0,2.0,1.0,1.0,2.0,2.0,0.0,1.0,122.0,7.625,4.190899848937988,-0.3819999992847442
XGBoost-biophysical,1,,0.0036231260746717,0.4899826049804687,1.314513087272644,-0.0881582647562027,0.0060891825705766,0.1130682155489921,-0.2995555996894836,-0.0129227973520755,0.078181006014347,-0.0087814591825008,0.0103105083107948,-0.0078573413193225,-0.0008605240145698,-0.1119049936532974,-0.0163009744137525,0.0163426529616117,-0.0248816460371017,0.098381295800209,0.0,-0.0758545771241188,0.1276021152734756,0.6690317988395691,-0.2415687441825866,14.0,4.244999885559082,-0.9976000189781188,-0.6714000105857849,0.2143000066280365,61.58599853515625,0.3571000099182129,0.428600013256073,3.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,120.0,8.571399688720703,0.0087999999523162,-0.1899999976158142
XGBoost-biophysical,1,,-0.0274655576795339,-0.3320900499820709,0.9907485842704772,0.0826287269592285,0.1546433269977569,-0.0464250929653644,0.2274690866470337,0.0568448714911937,0.0502851344645023,-0.0150763401761651,-0.0088901845738291,-0.0037730070762336,0.0035355989821255,0.2615161836147308,0.0477017387747764,0.0108010256662964,0.0756631717085838,0.1305437684059143,0.0,-0.0018138146260753,-0.1077766865491867,-0.1389362066984176,-0.6374852061271667,17.0,10.098999977111816,1.0008000135421753,-0.1176000013947486,0.2353000044822693,41.15299987792969,0.176499992609024,0.2940999865531921,1.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,3.0,0.0,1.0,123.0,7.235300064086914,2.007200002670288,-0.1252000033855438
XGBoost-biophysical,1,,-0.0397885404527187,0.5865007042884827,1.3703944683074951,0.1184066534042358,0.146995410323143,-0.0966480448842048,0.1372181624174118,-0.0537337251007556,0.0628928691148758,0.0838852152228355,0.0545522309839725,0.0003422371228225,0.0018937269924208,0.1599625349044799,0.0018558772280812,0.0105858780443668,0.0499432459473609,0.1623740941286087,0.0,0.0268114656209945,-0.1122481897473335,0.7841411828994751,-0.1659454256296157,18.0,4.083000183105469,-0.9980000257492064,-0.2610999941825866,0.2222000062465667,39.422000885009766,0.166700005531311,0.2777999937534332,1.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,1.0,124.0,6.888899803161621,0.0085000004619359,-0.1459999978542328
XGBoost-biophysical,0,,-0.0031418451108038,-1.3159031867980957,-3.443734884262085,-0.2735912501811981,0.1480600237846374,-0.1583458036184311,-0.5390803813934326,0.0152048552408814,0.0108903357759118,-0.0129197435453534,-0.2753807008266449,0.0315359644591808,-0.0041901413351297,0.215885192155838,-0.047455009073019,0.0037800977006554,-0.0482572540640831,0.017098156735301,0.0,-0.0189174693077802,0.0422168746590614,-1.0683085918426514,-0.0760494321584701,16.0,12.222999572753906,4.091100215911865,-1.3812999725341797,0.1875,55.13800048828125,0.4375,0.25,1.0,0.0,3.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,122.0,7.625,5.097499847412109,-0.2910000085830688
XGBoost-biophysical,1,,-0.0396854057908058,0.5372797250747681,1.2950770854949951,-0.2215637266635894,-0.1566430032253265,-0.2129330933094024,0.0071370098739862,-0.0356796160340309,-0.0836329907178878,-0.0428715758025646,-0.0230642333626747,0.0011319172335788,0.0050342655740678,0.1043374687433242,0.0252168364822864,0.0265893414616584,-0.0483068116009235,0.0913278460502624,0.0,0.0352696627378463,-0.2545942068099975,0.7801805138587952,0.4954360723495483,18.0,4.244999885559082,-0.9976000189781188,-0.9333000183105468,0.2777999937534332,50.12200164794922,0.2777999937534332,0.2222000062465667,3.0,0.0,2.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,124.0,6.888899803161621,0.0087000001221895,-0.2298000007867813
XGBoost-biophysical,0,,0.0051428508013486,-0.353186160326004,0.9928171038627625,-0.213981956243515,-0.1317087113857269,-0.0374792292714118,-0.4570167362689972,-0.0480069778859615,-0.0647159293293953,-0.0096601042896509,0.066377155482769,-0.0032937400974333,-0.0089031169191002,-0.1320068836212158,0.0101187750697135,0.0154235428199172,0.0543036684393882,-0.0589300207793712,0.0,-0.0399201773107051,0.0780232399702072,-0.0342961363494396,0.0944318547844886,14.0,7.004000186920166,0.0925000011920929,-0.928600013256073,0.2856999933719635,61.58599853515625,0.3571000099182129,0.2856999933719635,2.0,0.0,2.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,120.0,8.571399688720703,1.0988999605178833,-0.2199999988079071
XGBoost-biophysical,1,,-0.046415988355875,0.4284688830375671,1.2663143873214722,0.1726319342851638,0.8884730935096741,-0.0251927655190229,0.0730412527918815,0.0384420938789844,-0.0401666909456253,-0.0187648311257362,-0.0194010604172945,-0.0020265374332666,0.0029062922112643,0.2208539694547653,-0.0139596173539757,0.0178709086030721,0.0996651574969291,-0.0621251910924911,0.0,0.0403673760592937,-0.1986664682626724,0.1672049015760421,0.299427181482315,18.0,6.11899995803833,0.0015999999595806,-0.0443999990820884,0.1111000031232833,39.422000885009766,0.2222000062465667,0.3889000117778778,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,124.0,6.888899803161621,1.007599949836731,-0.2305999994277954
XGBoost-biophysical,1,,0.0018236429896205,0.3419972062110901,1.2883944511413574,-0.1228098049759864,-0.0163979157805442,-0.0607732683420181,-0.0390448421239852,-0.1663310676813125,0.0156001402065157,-0.0087402313947677,0.0823893621563911,-0.0012727873399853,-0.0017914620693773,-0.1451781392097473,-0.0425650514662265,-0.0231299865990877,0.1404925435781479,-0.0762732475996017,0.0,0.0037747132591903,0.0348484106361866,0.0655561313033104,0.513128936290741,16.0,5.98199987411499,0.0007999999797903,-0.324999988079071,0.25,55.13800048828125,0.125,0.5,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,3.0,3.0,1.0,122.0,7.625,1.0087000131607056,-0.2892999947071075
XGBoost-biophysical,0,,-0.0041081826202571,-0.6006368398666382,-0.4116451740264892,0.2232334613800048,-0.3258993923664093,-0.2143566012382507,0.1262199431657791,0.0152201112359762,0.0318934395909309,-0.0102865360677242,-0.2237062007188797,-0.0051345583051443,0.0145039781928062,0.5588064789772034,0.0046167792752385,-0.0326566062867641,0.0278435554355382,-0.0830283313989639,0.0,-0.0545671731233596,0.0355879701673984,-0.5075926184654236,-0.1352598965167999,15.0,12.199000358581545,2.0007998943328857,-0.7466999888420105,0.3332999944686889,45.30699920654297,0.2666999995708465,0.4000000059604645,1.0,0.0,3.0,0.0,0.0,0.0,3.0,2.0,0.0,2.0,1.0,121.0,8.066699981689453,3.007200002670288,-0.2032999992370605
