model,true_label,pred_prob,shap_cdr3_length,shap_cdr3_pi,shap_cdr3_charge,shap_cdr3_hydrophobicity,shap_cdr3_aromaticity,shap_cdr3_instability,shap_cdr3_frac_charged,shap_cdr3_frac_hydrophobic,shap_cdr3_D,shap_cdr3_E,shap_cdr3_R,shap_cdr3_K,shap_cdr3_H,shap_cdr3_W,shap_cdr3_Y,shap_cdr3_F,shap_cdr3_G,shap_cdr3_P,shap_cdr3_C,shap_vh_length,shap_vh_cdr3_length_ratio,shap_vh_charge,shap_vh_hydrophobicity,fval_cdr3_length,fval_cdr3_pi,fval_cdr3_charge,fval_cdr3_hydrophobicity,fval_cdr3_aromaticity,fval_cdr3_instability,fval_cdr3_frac_charged,fval_cdr3_frac_hydrophobic,fval_cdr3_D,fval_cdr3_E,fval_cdr3_R,fval_cdr3_K,fval_cdr3_H,fval_cdr3_W,fval_cdr3_Y,fval_cdr3_F,fval_cdr3_G,fval_cdr3_P,fval_cdr3_C,fval_vh_length,fval_vh_cdr3_length_ratio,fval_vh_charge,fval_vh_hydrophobicity
XGBoost-biophysical,1,,-0.1351759731769561,0.700605034828186,0.5043855905532837,0.59820157289505,-0.3301608264446258,0.183959886431694,-0.0041899364441633,-0.2149328887462616,0.5271304249763489,0.0053249620832502,0.1820587217807769,0.0548690035939216,-0.0043722679838538,0.9459406733512878,0.1900641173124313,0.0739998519420623,-0.0578415617346763,-0.2399703562259674,0.0,-0.0479352176189422,-0.1125571653246879,0.3098177313804626,-0.0439723879098892,15.0,3.7200000286102295,-1.997599959373474,0.2000000029802322,0.3332999944686889,81.27999877929688,0.2666999995708465,0.4666999876499176,3.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,121.0,8.066699981689453,-0.9911999702453612,-0.0974999964237213
XGBoost-biophysical,1,,0.2839718461036682,0.1095762401819229,0.067955382168293,-0.1421163976192474,0.5047589540481567,-0.2039234638214111,-0.1291896104812622,0.3396793305873871,0.1340229213237762,-0.0037092578131705,-0.0507295615971088,0.0698402449488639,-0.0342715345323085,1.0624756813049316,0.0694267153739929,0.0378785878419876,0.1228396743535995,0.2757564485073089,0.0,0.6117751598358154,0.5207878947257996,0.2935571670532226,0.2056501358747482,12.0,6.11899995803833,0.0015999999595806,-0.8083000183105469,0.25,70.18299865722656,0.3332999944686889,0.3332999944686889,2.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,118.0,9.83329963684082,1.0080000162124634,-0.1958000063896179
XGBoost-biophysical,1,,-0.7690097689628601,0.5756388306617737,0.3452493548393249,0.0478369891643524,0.3741182684898376,-0.3133609294891357,0.015941884368658,0.0793231576681137,0.0743044763803482,-0.0266140736639499,0.1229602545499801,0.0495357923209667,0.0047873868606984,1.0136122703552246,-0.0391645804047584,0.1057283282279968,-0.1706363260746002,0.3488929569721222,0.0,-0.188535451889038,-0.8365384340286255,0.6568743586540222,-0.0490951426327228,18.0,3.7730000019073486,-1.9972000122070312,-0.6499999761581421,0.2222000062465667,69.4000015258789,0.2222000062465667,0.2777999937534332,2.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,3.0,1.0,1.0,124.0,6.888899803161621,-0.9907000064849854,-0.2023999989032745
XGBoost-biophysical,1,,0.0133294686675071,0.5902298092842102,0.4415618479251861,0.1083820536732673,0.4535092115402221,0.0017451294697821,0.2556445300579071,0.3416258990764618,0.1551889926195144,-0.032955452799797,0.1274395585060119,0.0620114058256149,-0.0100543545559048,0.9466253519058228,-0.0183409750461578,-0.0021462868899106,0.250842273235321,0.3906553983688354,0.0,0.1663766056299209,0.0312686301767826,0.6699385643005371,-0.0237558297812938,14.0,3.7730000019073486,-1.9972000122070312,-0.492900013923645,0.2143000066280365,47.82899856567383,0.2856999933719635,0.3571000099182129,2.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,120.0,8.571399688720703,-0.9907000064849854,-0.1692000031471252
XGBoost-biophysical,0,,-0.0908218920230865,-0.2221171259880066,-0.2435202747583389,0.3917367160320282,-0.1672671139240265,-0.0829420909285545,-0.3747393488883972,-0.2780672311782837,-0.3733828067779541,-0.0048347599804401,0.1327009350061416,0.0489712357521057,-0.0174485277384519,-2.335684061050415,-0.2024696320295334,-0.0155940372496843,0.087486445903778,-0.189691886305809,0.0,0.1077604815363884,-0.1373462826013565,-0.5158964395523071,-0.2558181583881378,14.0,5.98199987411499,0.0007999999797903,0.0285999998450279,0.2856999933719635,47.82899856567383,0.1429000049829483,0.428600013256073,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,120.0,8.571399688720703,1.007099986076355,-0.094200000166893
XGBoost-biophysical,1,,-0.74330073595047,0.4295402765274048,0.3056904375553131,-0.175996646285057,0.7366886138916016,0.3250095546245575,-0.055192545056343,0.1103491932153701,0.1335973143577575,-0.0104557955637574,-0.0166614241898059,0.0549992248415946,0.0069508431479334,1.129480481147766,-0.2324466407299041,0.0771507620811462,-0.0854800641536712,0.1619121730327606,0.0,-0.2025631666183471,-0.7587915658950806,0.412048727273941,0.5535175204277039,18.0,4.045000076293945,-1.99590003490448,-0.9610999822616576,0.1111000031232833,39.422000885009766,0.3332999944686889,0.3332999944686889,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,1.0,124.0,6.888899803161621,-0.9896000027656556,-0.2338999956846237
XGBoost-biophysical,1,,0.4836786389350891,0.641396701335907,0.440264880657196,-0.2880829572677612,-0.1888578385114669,-0.0416586585342884,0.1751620918512344,0.688421368598938,-0.233598381280899,0.0703618004918098,0.2672485709190368,0.0667526721954345,-0.0128218606114387,0.7460609674453735,0.1484886705875396,0.0436713956296443,0.0915950089693069,-0.0793883129954338,0.0,0.4106188416481018,0.2595009207725525,0.1250510215759277,0.3746983706951141,11.0,4.083000183105469,-0.9980000257492064,-1.1090999841690063,0.3635999858379364,58.14500045776367,0.2727000117301941,0.1817999929189682,1.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,119.0,10.81820011138916,2.0088000297546387,-0.3824000060558319
XGBoost-biophysical,1,,0.2326450794935226,0.1739953011274337,0.1030698493123054,-0.2699079513549804,0.47027587890625,0.0088411830365657,-0.084769994020462,0.2017003446817398,-0.2744936347007751,0.0148487510159611,0.1391626447439193,0.0733316615223884,-0.0030635886359959,0.9920400977134703,-0.1287941485643386,0.0225181821733713,0.0843819826841354,0.2581648528575897,0.0,0.5700860023498535,0.4441252946853637,0.3847690522670746,0.1868588626384735,12.0,5.98199987411499,0.0007999999797903,-0.833299994468689,0.166700005531311,54.132999420166016,0.166700005531311,0.25,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,118.0,9.83329963684082,1.007200002670288,-0.1983000040054321
XGBoost-biophysical,1,,0.0065348986536264,0.2365349978208542,0.3267655968666076,0.0213857945054769,0.4440865516662597,0.0554275810718536,-0.0194334648549556,0.085074283182621,0.1328032612800598,-0.0522377081215381,0.126891627907753,0.0602527558803558,0.0831730887293815,1.0278011560440063,-0.1233842894434928,0.000826334406156,0.1185940504074096,0.2903785407543182,0.0,0.2189931273460388,-0.0078883254900574,0.4255362153053283,0.2246775180101394,14.0,4.297999858856201,-1.9062000513076784,-1.007099986076355,0.1429000049829483,61.58599853515625,0.3571000099182129,0.2856999933719635,2.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,120.0,8.571399688720703,-0.8999999761581421,-0.2150000035762787
XGBoost-biophysical,0,,-0.0092524923384189,-1.1022881269454956,-0.7174153327941895,-0.2307762950658798,-0.7076988816261292,0.057116612792015,-0.0634594783186912,0.12713123857975,-0.3810878396034241,-0.0035903542302548,-0.2076237201690673,0.0559757128357887,-0.0188565347343683,-2.25960922241211,0.0636140331625938,0.0059043141081929,0.1119297817349433,-0.2679299712181091,0.0,0.1509378552436828,-0.1171977147459983,0.0834470763802528,-0.09831103682518,14.0,10.098999977111816,1.0008000135421753,-0.957099974155426,0.3571000099182129,47.82899856567383,0.2143000066280365,0.2856999933719635,1.0,0.0,2.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,1.0,120.0,8.571399688720703,2.0071001052856445,-0.2091999948024749
