size,seed,train,test,auc,acc
100,42,80,20,0.8200000000000001,0.65
100,43,80,20,0.96,0.8
100,44,80,20,0.91,0.75
100,45,80,20,0.36,0.5
100,46,80,20,0.8200000000000001,0.8
100,47,80,20,0.98,0.9
100,48,80,20,0.8600000000000001,0.6
100,49,80,20,0.51,0.5
100,50,80,20,0.89,0.8
100,51,80,20,0.8600000000000001,0.75
100,52,80,20,0.86,0.65
100,53,80,20,0.79,0.7
200,42,160,40,0.875,0.775
200,43,160,40,0.9575,0.9
200,44,160,40,0.9725,0.875
200,45,160,40,0.79,0.725
200,46,160,40,0.925,0.8
200,47,160,40,0.8599999999999999,0.675
200,48,160,40,0.88,0.725
200,49,160,40,0.9225,0.775
200,50,160,40,0.9625,0.875
200,51,160,40,0.935,0.875
200,52,160,40,0.8724999999999999,0.775
200,53,160,40,0.9075,0.75
300,42,240,60,0.8666666666666667,0.7333333333333333
300,43,240,60,0.8911111111111112,0.7833333333333333
300,44,240,60,0.9366666666666666,0.85
300,45,240,60,0.9366666666666666,0.8833333333333333
300,46,240,60,0.9033333333333332,0.8666666666666667
300,47,240,60,0.9166666666666666,0.85
300,48,240,60,0.9244444444444444,0.7166666666666667
300,49,240,60,0.9311111111111112,0.8333333333333334
300,50,240,60,0.9688888888888888,0.9333333333333332
300,51,240,60,0.93,0.8833333333333333
300,52,240,60,0.9266666666666666,0.85
300,53,240,60,0.9122222222222224,0.8166666666666667
500,42,400,100,0.898,0.78
500,43,400,100,0.836,0.77
500,44,400,100,0.978,0.87
500,45,400,100,0.9824,0.94
500,46,400,100,0.8904000000000001,0.8
500,47,400,100,0.9288,0.84
500,48,400,100,0.9644,0.89
500,49,400,100,0.9392,0.9
500,50,400,100,0.978,0.95
500,51,398,102,0.94079200307574,0.8529411764705882
500,52,400,100,0.9668,0.9
500,53,400,100,0.9172,0.85
900,42,720,180,0.9180246913580248,0.8444444444444444
900,43,722,178,0.9356141901275092,0.8595505617977528
900,44,720,180,0.9434567901234568,0.8666666666666667
900,45,720,180,0.9407407407407408,0.8888888888888888
900,46,717,183,0.9718107978977544,0.9016393442622952
900,47,720,180,0.9079012345679012,0.8055555555555556
900,48,720,180,0.961604938271605,0.8722222222222222
900,49,720,180,0.9580246913580248,0.8777777777777778
900,50,720,180,0.9632098765432098,0.9
900,51,720,180,0.9798765432098766,0.9222222222222224
900,52,720,180,0.9534567901234569,0.8777777777777778
900,53,720,180,0.9585185185185184,0.9
1500,42,1200,300,0.9478222222222222,0.8733333333333333
1500,43,1200,300,0.9823555555555556,0.9433333333333334
1500,44,1200,300,0.9759111111111112,0.91
1500,45,1200,300,0.961511111111111,0.8533333333333334
1500,46,1200,300,0.9721333333333332,0.91
1500,47,1200,300,0.9718666666666668,0.9133333333333332
1500,48,1200,300,0.9703111111111112,0.91
1500,49,1200,300,0.9892,0.9533333333333334
1500,50,1200,300,0.9870666666666668,0.9333333333333332
1500,51,1200,300,0.9807111111111112,0.93
1500,52,1200,300,0.9399111111111113,0.8566666666666667
1500,53,1200,300,0.9805777777777778,0.9333333333333332
2500,42,2000,500,0.9888,0.924
2500,43,2000,500,0.942496,0.88
2500,44,2000,500,0.960288,0.9
2500,45,2000,500,0.976976,0.924
2500,46,2000,500,0.974496,0.926
2500,47,2000,500,0.976672,0.934
2500,48,2000,500,0.981472,0.92
2500,49,2000,500,0.966048,0.89
2500,50,2000,500,0.979664,0.926
2500,51,2000,500,0.979584,0.932
2500,52,2000,500,0.986944,0.94
2500,53,2000,500,0.97064,0.91
4000,42,3200,800,0.97425,0.91375
4000,43,3200,800,0.97013125,0.91375
4000,44,3200,800,0.98360625,0.93875
4000,45,3200,800,0.98825,0.94
4000,46,3200,800,0.964521875,0.905
4000,47,3200,800,0.98966875,0.9425
4000,48,3200,800,0.96218125,0.90375
4000,49,3198,802,0.986685406185285,0.945137157107232
4000,50,3200,800,0.99021875,0.95
4000,51,3202,798,0.9696609945917424,0.9135338345864662
4000,52,3200,800,0.97314375,0.9025
4000,53,3200,800,0.9849125,0.94125
6500,42,5196,1304,0.985151868719184,0.937116564417178
6500,43,5200,1300,0.9714994082840236,0.9123076923076924
6500,44,5198,1302,0.9845257561921752,0.9370199692780338
6500,45,5200,1300,0.9806745562130178,0.923846153846154
6500,46,5198,1302,0.9694514642485506,0.91321044546851
6500,47,5200,1300,0.9747502958579882,0.9215384615384616
6500,48,5202,1298,0.9659663676012166,0.8944530046224961
6500,49,5200,1300,0.9893301775147928,0.9407692307692308
6500,50,5202,1298,0.9815622470032124,0.930662557781202
6500,51,5202,1298,0.9827042196006184,0.9275808936825886
6500,52,5202,1298,0.9843210248788584,0.9329738058551618
6500,53,5200,1300,0.9852875739644972,0.9284615384615384
10000,42,8002,1998,0.9884654424193964,0.9484484484484484
10000,43,8000,2000,0.983984,0.933
10000,44,8000,2000,0.990386,0.953
10000,45,8000,2000,0.982584,0.9315
10000,46,8002,1998,0.9776538300061824,0.9174174174174174
10000,47,8000,2000,0.988467,0.9445
10000,48,8000,2000,0.981562,0.932
10000,49,7988,2012,0.9838889130426188,0.9358846918489064
10000,50,7988,2012,0.9733359287614276,0.9110337972166996
10000,51,7999,2001,0.986056943056943,0.944527736131934
10000,52,7998,2002,0.9832894378348924,0.934065934065934
10000,53,7998,2002,0.988814382420776,0.9455544455544456
16000,42,12800,3200,0.9834669921875,0.93125
16000,43,12800,3200,0.9916166015625,0.95625
16000,44,12800,3200,0.980758203125,0.9178125
16000,45,12800,3200,0.9844662109375,0.9315625
16000,46,12800,3200,0.983594921875,0.92
16000,47,12800,3200,0.9848697265625,0.9425
16000,48,12800,3200,0.989175,0.9496875
16000,49,12802,3198,0.9918222028229808,0.9571607254534084
16000,50,12796,3204,0.9890149797148072,0.948501872659176
16000,51,12800,3200,0.9864259765625,0.9315625
16000,52,12808,3192,0.9630914692746906,0.9038220551378446
16000,53,12800,3200,0.9868419921875,0.9409375
26000,42,20808,5192,0.991275246260099,0.9503081664098614
26000,43,20802,5198,0.9897177577844264,0.9565217391304348
26000,44,20798,5202,0.98774042338136,0.9450211457131872
26000,45,20806,5194,0.9809219755207612,0.9158644589911435
26000,46,20802,5198,0.989531445856066,0.9509426702577914
26000,47,20802,5198,0.9843067175480078,0.9390150057714506
26000,48,20796,5204,0.9915581096132684,0.952152190622598
26000,49,20800,5200,0.9923631656804734,0.958076923076923
26000,50,20754,5246,0.9888775341276304,0.9388105223027068
26000,51,20798,5202,0.9854011728550266,0.9386774317570166
26000,52,20802,5198,0.990970422370696,0.954213158907272
26000,53,20804,5196,0.976877606449208,0.9147421093148576
42000,42,33600,8400,0.9910428004535148,0.9496428571428572
42000,43,33617,8383,0.9902428311029996,0.9513300727663128
42000,44,33583,8417,0.990827611618052,0.9525959367945824
42000,45,33601,8399,0.9807223375180032,0.9290391713299202
68000,42,54402,13598,0.990868053950382,0.9530077952640094
68000,43,54374,13626,0.9885952474488584,0.9452517246440628
68000,44,54397,13603,0.9878382055564496,0.948467249871352
68000,45,54395,13605,0.989198374136875,0.94898934215362
