size,n,mean_auc,ci_lo,ci_hi,std,min,max,aucs
100,12,0.8017,0.6855,0.9178,0.1828,0.36,0.98,"[0.82, 0.96, 0.91, 0.36, 0.82, 0.98, 0.86, 0.51, 0.89, 0.86, 0.86, 0.79]"
200,12,0.905,0.8718,0.9382,0.0523,0.79,0.9725,"[0.875, 0.9575, 0.9725, 0.79, 0.925, 0.86, 0.88, 0.9225, 0.9625, 0.935, 0.8725, 0.9075]"
300,12,0.9204,0.904,0.9367,0.0257,0.8667,0.9689,"[0.8667, 0.8911, 0.9367, 0.9367, 0.9033, 0.9167, 0.9244, 0.9311, 0.9689, 0.93, 0.9267, 0.9122]"
500,12,0.935,0.907,0.963,0.0441,0.836,0.9824,"[0.898, 0.836, 0.978, 0.9824, 0.8904, 0.9288, 0.9644, 0.9392, 0.978, 0.9408, 0.9668, 0.9172]"
900,12,0.9494,0.9359,0.9628,0.0212,0.9079,0.9799,"[0.918, 0.9356, 0.9435, 0.9407, 0.9718, 0.9079, 0.9616, 0.958, 0.9632, 0.9799, 0.9535, 0.9585]"
1500,12,0.9716,0.962,0.9812,0.0151,0.9399,0.9892,"[0.9478, 0.9824, 0.9759, 0.9615, 0.9721, 0.9719, 0.9703, 0.9892, 0.9871, 0.9807, 0.9399, 0.9806]"
2500,12,0.9737,0.9656,0.9817,0.0127,0.9425,0.9888,"[0.9888, 0.9425, 0.9603, 0.977, 0.9745, 0.9767, 0.9815, 0.966, 0.9797, 0.9796, 0.9869, 0.9706]"
4000,12,0.9781,0.9716,0.9846,0.0102,0.9622,0.9902,"[0.9742, 0.9701, 0.9836, 0.9882, 0.9645, 0.9897, 0.9622, 0.9867, 0.9902, 0.9697, 0.9731, 0.9849]"
6500,12,0.9796,0.9749,0.9843,0.0074,0.966,0.9893,"[0.9852, 0.9715, 0.9845, 0.9807, 0.9695, 0.9748, 0.966, 0.9893, 0.9816, 0.9827, 0.9843, 0.9853]"
10000,12,0.984,0.9809,0.9872,0.005,0.9733,0.9904,"[0.9885, 0.984, 0.9904, 0.9826, 0.9777, 0.9885, 0.9816, 0.9839, 0.9733, 0.9861, 0.9833, 0.9888]"
16000,12,0.9846,0.9798,0.9894,0.0076,0.9631,0.9918,"[0.9835, 0.9916, 0.9808, 0.9845, 0.9836, 0.9849, 0.9892, 0.9918, 0.989, 0.9864, 0.9631, 0.9868]"
26000,12,0.9875,0.9844,0.9905,0.0047,0.9769,0.9924,"[0.9913, 0.9897, 0.9877, 0.9809, 0.9895, 0.9843, 0.9916, 0.9924, 0.9889, 0.9854, 0.991, 0.9769]"
42000,4,0.9882,0.9802,0.9962,0.005,0.9807,0.991,"[0.991, 0.9902, 0.9908, 0.9807]"
68000,4,0.9891,0.9871,0.9912,0.0013,0.9878,0.9909,"[0.9909, 0.9886, 0.9878, 0.9892]"
110000,4,0.9898,0.9852,0.9944,0.0029,0.9855,0.9918,"[0.9912, 0.9855, 0.9908, 0.9918]"
180000,4,0.9916,0.9885,0.9946,0.0019,0.9898,0.9936,"[0.9928, 0.9898, 0.99, 0.9936]"
246291,3,0.9829,0.9673,0.9986,0.0063,0.9789,0.9902,"[0.9789, 0.9902, 0.9796]"
