size,seed,train,test,auc,acc
100,42,80,20,0.93,0.9
100,43,80,20,0.62,0.55
100,44,80,20,0.72,0.5
100,45,80,20,0.91,0.5
100,46,80,20,0.8900000000000001,0.5
100,47,80,20,0.73,0.6
100,48,80,20,0.74,0.5
100,49,80,20,0.18,0.35
100,50,80,20,0.97,0.9
100,51,80,20,0.84,0.55
100,52,80,20,0.66,0.5
100,53,80,20,1.0,0.8
200,42,160,40,0.805,0.675
200,43,160,40,0.8175,0.6
200,44,160,40,0.7225,0.575
200,45,160,40,0.8350000000000001,0.85
200,46,160,40,0.7849999999999999,0.7
200,47,160,40,0.62,0.725
200,48,160,40,0.81,0.5
200,49,160,40,0.1525,0.4
200,50,160,40,0.6575,0.575
200,51,160,40,0.6975,0.525
200,52,160,40,0.7575,0.625
200,53,160,40,0.87,0.8
300,42,240,60,0.7066666666666666,0.65
300,43,240,60,0.8,0.6333333333333333
300,44,240,60,0.7622222222222222,0.6833333333333333
300,45,240,60,0.6644444444444444,0.5833333333333334
300,46,240,60,0.778888888888889,0.6833333333333333
300,47,240,60,0.6988888888888889,0.6833333333333333
300,48,240,60,0.6211111111111111,0.5333333333333333
300,49,240,60,0.7066666666666667,0.7
300,50,240,60,0.8211111111111111,0.7333333333333333
300,51,240,60,0.7966666666666666,0.7666666666666667
300,52,240,60,0.7666666666666667,0.7333333333333333
300,53,240,60,0.7322222222222222,0.7
500,42,400,100,0.6552,0.63
500,43,400,100,0.8152,0.68
500,44,400,100,0.7064000000000001,0.67
500,45,400,100,0.7276000000000001,0.65
500,46,400,100,0.736,0.7
500,47,400,100,0.7836,0.7
500,48,400,100,0.792,0.69
500,49,400,100,0.7648,0.71
500,50,400,100,0.6192,0.52
500,51,400,100,0.7267999999999999,0.69
500,52,400,100,0.732,0.57
500,53,400,100,0.7088,0.5
700,42,560,140,0.8175510204081633,0.7142857142857143
700,43,560,140,0.7973469387755102,0.7785714285714286
700,44,560,140,0.7914285714285714,0.7
700,45,560,140,0.6844897959183673,0.6642857142857143
700,46,560,140,0.8183673469387754,0.7857142857142857
700,47,560,140,0.7661224489795918,0.7214285714285714
700,48,560,140,0.8259183673469388,0.7642857142857142
700,49,560,140,0.7959183673469389,0.7785714285714286
700,50,560,140,0.7571428571428571,0.5785714285714286
700,51,560,140,0.6538775510204081,0.6
700,52,560,140,0.6489795918367347,0.5571428571428572
700,53,560,140,0.7530612244897958,0.5
900,42,720,180,0.8809876543209876,0.8055555555555556
900,43,720,180,0.7240740740740741,0.6111111111111112
900,44,720,180,0.708641975308642,0.6666666666666666
900,45,720,180,0.768641975308642,0.6944444444444444
900,46,720,180,0.807283950617284,0.75
900,47,720,180,0.7558024691358025,0.7222222222222222
900,48,720,180,0.7707407407407407,0.6611111111111111
900,49,720,180,0.8127160493827161,0.7388888888888889
900,50,720,180,0.7614814814814814,0.6666666666666666
900,51,720,180,0.8109876543209876,0.7611111111111111
900,52,720,180,0.8188888888888889,0.7833333333333333
900,53,720,180,0.7664197530864197,0.7277777777777777
1200,42,960,240,0.936875,0.8333333333333334
