size,n,mean_auc,ci_lo,ci_hi,std,min,max,aucs
100,12,0.7658,0.6244,0.9072,0.2226,0.18,1.0,"[0.93, 0.62, 0.72, 0.91, 0.89, 0.73, 0.74, 0.18, 0.97, 0.84, 0.66, 1.0]"
200,12,0.7108,0.5894,0.8322,0.1911,0.1525,0.87,"[0.805, 0.8175, 0.7225, 0.835, 0.785, 0.62, 0.81, 0.1525, 0.6575, 0.6975, 0.7575, 0.87]"
300,12,0.738,0.6997,0.7762,0.0602,0.6211,0.8211,"[0.7067, 0.8, 0.7622, 0.6644, 0.7789, 0.6989, 0.6211, 0.7067, 0.8211, 0.7967, 0.7667, 0.7322]"
500,12,0.7306,0.6952,0.766,0.0557,0.6192,0.8152,"[0.6552, 0.8152, 0.7064, 0.7276, 0.736, 0.7836, 0.792, 0.7648, 0.6192, 0.7268, 0.732, 0.7088]"
700,12,0.7592,0.7189,0.7994,0.0633,0.649,0.8259,"[0.8176, 0.7973, 0.7914, 0.6845, 0.8184, 0.7661, 0.8259, 0.7959, 0.7571, 0.6539, 0.649, 0.7531]"
900,12,0.7822,0.7526,0.8119,0.0467,0.7086,0.881,"[0.881, 0.7241, 0.7086, 0.7686, 0.8073, 0.7558, 0.7707, 0.8127, 0.7615, 0.811, 0.8189, 0.7664]"
1200,12,0.8633,0.8186,0.908,0.0704,0.7232,0.9369,"[0.9369, 0.8978, 0.8495, 0.921, 0.8885, 0.8262, 0.8987, 0.8444, 0.7394, 0.9144, 0.9192, 0.7232]"
1500,12,0.8801,0.8267,0.9334,0.0839,0.721,0.9468,"[0.9456, 0.774, 0.9164, 0.925, 0.9442, 0.9468, 0.9363, 0.8915, 0.7416, 0.8924, 0.926, 0.721]"
1900,12,0.8917,0.8411,0.9422,0.0796,0.7372,0.9477,"[0.9186, 0.767, 0.779, 0.9452, 0.936, 0.9286, 0.9477, 0.9337, 0.9388, 0.9322, 0.936, 0.7372]"
2400,12,0.9339,0.9254,0.9425,0.0134,0.9035,0.9499,"[0.9237, 0.9499, 0.9328, 0.9494, 0.9315, 0.9245, 0.9453, 0.9427, 0.9397, 0.9246, 0.9396, 0.9035]"
3000,12,0.9392,0.9321,0.9464,0.0113,0.922,0.9606,"[0.937, 0.936, 0.9347, 0.9606, 0.9459, 0.9387, 0.9339, 0.9227, 0.9551, 0.922, 0.943, 0.9414]"
3800,12,0.9403,0.935,0.9457,0.0085,0.9258,0.9543,"[0.9363, 0.9258, 0.9389, 0.938, 0.9413, 0.9302, 0.9513, 0.9543, 0.9385, 0.9419, 0.951, 0.9367]"
4700,12,0.9483,0.9442,0.9524,0.0064,0.9343,0.9578,"[0.9527, 0.9343, 0.9453, 0.9484, 0.9475, 0.9578, 0.9451, 0.9485, 0.9441, 0.9458, 0.9526, 0.9576]"
5800,12,0.9516,0.9453,0.9579,0.0099,0.9311,0.9637,"[0.9487, 0.9637, 0.963, 0.9526, 0.9572, 0.9516, 0.9311, 0.9591, 0.9354, 0.948, 0.9543, 0.9542]"
7000,12,0.9553,0.9521,0.9585,0.005,0.9427,0.9615,"[0.9504, 0.9527, 0.954, 0.958, 0.9615, 0.9605, 0.9558, 0.9564, 0.9427, 0.9557, 0.9573, 0.9581]"
8500,12,0.956,0.9541,0.9579,0.003,0.9488,0.9589,"[0.9509, 0.9582, 0.9572, 0.9563, 0.9575, 0.9567, 0.9564, 0.9589, 0.9565, 0.957, 0.9572, 0.9488]"
11265,12,0.9595,0.9584,0.9606,0.0017,0.956,0.9614,"[0.959, 0.9586, 0.9614, 0.9599, 0.9598, 0.9598, 0.956, 0.9612, 0.9578, 0.9611, 0.9613, 0.9579]"
