model,region,aa,ig_value
Transformer-onehot,HCDR3,A,0.2393255531787872
Transformer-onehot,HCDR3,A,0.525593638420105
Transformer-onehot,HCDR3,A,0.0922846719622612
Transformer-onehot,HCDR3,A,0.1020093783736229
Transformer-onehot,HCDR3,A,0.036329235881567
Transformer-onehot,HCDR3,A,0.1380843371152877
Transformer-onehot,HCDR3,A,0.0367319285869598
Transformer-onehot,HCDR3,A,0.3365663588047027
Transformer-onehot,HCDR3,A,0.0675341859459877
Transformer-onehot,HCDR3,A,0.0925479754805564
Transformer-onehot,HCDR3,A,0.1101580187678337
Transformer-onehot,HCDR3,A,0.0221754070371389
Transformer-onehot,HCDR3,A,0.3765340149402618
Transformer-onehot,HCDR3,A,0.1297052651643753
Transformer-onehot,HCDR3,A,0.0989554077386856
Transformer-onehot,HCDR3,A,0.5148869156837463
Transformer-onehot,HCDR3,A,0.4449211359024048
Transformer-onehot,HCDR3,A,0.0968353822827339
Transformer-onehot,HCDR3,A,0.529590368270874
Transformer-onehot,HCDR3,A,0.1237696930766105
Transformer-onehot,HCDR3,A,0.2693284749984741
Transformer-onehot,HCDR3,A,0.122615061700344
Transformer-onehot,HCDR3,A,0.1618171781301498
Transformer-onehot,HCDR3,A,0.2069391310214996
Transformer-onehot,HCDR3,A,0.1298491656780243
Transformer-onehot,HCDR3,A,0.3472945094108581
Transformer-onehot,HCDR3,A,0.0752663016319274
Transformer-onehot,HCDR3,A,0.0936060547828674
Transformer-onehot,HCDR3,A,0.107302114367485
Transformer-onehot,HCDR3,A,0.1090279966592788
Transformer-onehot,HCDR3,A,0.1229398846626281
Transformer-onehot,HCDR3,A,0.4457879662513733
Transformer-onehot,HCDR3,A,1.3878780603408811
Transformer-onehot,HCDR3,A,0.1195424422621727
Transformer-onehot,HCDR3,A,0.1165825873613357
Transformer-onehot,HCDR3,A,0.2478514909744262
Transformer-onehot,HCDR3,A,0.0909549072384834
Transformer-onehot,HCDR3,A,0.6184956431388855
Transformer-onehot,HCDR3,A,0.4378980100154876
Transformer-onehot,HCDR3,A,0.3191163837909698
Transformer-onehot,HCDR3,A,0.0498574897646904
Transformer-onehot,HCDR3,A,0.2695120275020599
Transformer-onehot,HCDR3,A,0.1157130077481269
Transformer-onehot,HCDR3,A,0.3071674704551697
Transformer-onehot,HCDR3,A,0.1009618565440177
Transformer-onehot,HCDR3,A,0.0970649421215057
Transformer-onehot,HCDR3,A,0.1768825948238372
Transformer-onehot,HCDR3,A,0.7231135964393616
Transformer-onehot,HCDR3,A,0.114860787987709
Transformer-onehot,HCDR3,A,0.5069855451583862
Transformer-onehot,HCDR3,A,0.0468434430658817
Transformer-onehot,HCDR3,A,0.1301577538251876
Transformer-onehot,HCDR3,A,0.1384870857000351
Transformer-onehot,HCDR3,A,0.8543235063552856
Transformer-onehot,HCDR3,A,0.1038964316248893
Transformer-onehot,HCDR3,A,0.1210691779851913
Transformer-onehot,HCDR3,A,0.0346414297819137
Transformer-onehot,HCDR3,A,0.1013406366109848
Transformer-onehot,HCDR3,A,0.4197943806648254
Transformer-onehot,HCDR3,A,0.2371018379926681
Transformer-onehot,HCDR3,A,0.4307470023632049
Transformer-onehot,HCDR3,A,0.2401275336742401
Transformer-onehot,HCDR3,A,0.2829865515232086
Transformer-onehot,HCDR3,A,0.1175917312502861
Transformer-onehot,HCDR3,A,0.0739121809601783
Transformer-onehot,HCDR3,A,0.1079572439193725
Transformer-onehot,HCDR3,A,0.4025800228118896
Transformer-onehot,HCDR3,A,0.1159691512584686
